"","guide_title","guide_no","page_no","country","state","category","authors","date_created","year_publisehd","language","Category","Countries"
"1","Rio de Janeiro - Croton of Itatiaia National Park",1130,1,"Brazil","Rio de Janeiro","Plants","Maria Beatriz Rossi Caruzo","February, 2019",2019,"English","Plants","Brazil"
"2","Amazonas - Flowers and Fruits of White-Sand Vegetation",1129,10,"Brazil","Amazonas","Plants","Francisco Farroñay, Alberto Vicentini","February, 2019",2019,"English","Plants","Brazil"
"3","Minas Gerais - Plants of Wet Fields of Serra do Cipó",1108,5,"Brazil","Minas Gerais","Plants","Guilherme Medeiros Antar, Marcela Escaramai da Silva, Marcelo Tomé Kubo , Paulo Takeo Sano","January, 2019",2019,"English","Plants","Brazil"
"4","Ceará -  Flora of the Lagoa da Maraponga Ecological Park",1092,4,"Brazil","Ceará","Plants","Valéria da Silva Sampaio, Gabriel Freitas Mendes, Eliseu Marlônio Pereira de Lucena, Maria Iracema Bezerra Loiola","November, 2018",2018,"English","Plants","Brazil"
"5","Pará - Plants of Algodoal-Maiandeua Environmental Protection Area",1081,6,"Brazil","Pará","Plants","Carlos Renato Boelter, Nívea Glaucia Pinto Pereira, Rilary da Silva Antônio José, Aína Leite Gorayeb, Aluisio José Fernandes-Júnior, Marcelo Rodrigues Vilarta, Sergio Renan de Brito Alves, Crisomar Lobato","December, 2018",2018,"English","Plants","Brazil"
"6","Vismia (Hypericaceae) from the Brazilian Atlantic Forest",1066,3,"Brazil","","Plants","Lucas C. Marinho, Gustavo H. Shimizu, Milena V. Martins, Maria do Carmo E. Amaral, André M. Amorim","August, 2018",2018,"English","Plants","Brazil"
"7","Ceará - Convolvulaceae of Meruoca Massif",1058,3,"Brazil","Ceará","Plants","Francisco Diego Sousa Santos, Rayane de Tasso Moreira Ribeiro, Marlene Feliciano Figueirêdo, Elnatan Bezerra de Souza, Maria Teresa Aureliano Buril Vital","August, 2018",2018,"English","Plants","Brazil"
"8","Distrito Federal - Bromeliaceae of Distrito Federal",1057,1,"Brazil","Distrito Federal","Plants","Camila Correia de Araújo, Maria das Graças Lapa Wanderley","July, 2018",2018,"English","Plants","Brazil"
"9","São Paulo - Myrtaceae of Serra do Mar State Park",1048,4,"Brazil","São Paulo","Plants","Adriano Maruyama, Larisse Souza de Cicco Maruyama , Valdir de Cicco","February, 2019",2019,"English","Plants","Brazil"
"10","Ceará - Lentibulariaceae",1046,2,"Brazil","Ceará","Plants","Felipe Martins Guedes, Lígia Queiroz Matias","February, 2019",2019,"English","Plants","Brazil"
